MATERIAL_NUMBER_1,MATERIAL_NUMBER_TEXT,UPPER_DESC
179997,"NIPPLE,1-1/2 X 4,GALV,STD,BW,TBE,SCH-40","NIPPLE,1-1/2 X 4,GALV,STD,BW,TBE,SCH-40"
180493,"FLANGE,WN,1-1/4,RF,150A,STL,STD BORE","FLANGE,WN,1-1/4,RF,150A,STL,STD BORE"
180519,"FLANGE,WN,16,RF,300A,STL,STD BORE","FLANGE,WN,16,RF,300A,STL,STD BORE"
181432,"VALVE,PLUG,1/2,300A,SE,2024,ROCKWELL,CS","VALVE,PLUG,1/2,300A,SE,2024,ROCKWELL,CS"
181625,"VALVE,CHECK,2,300A,2T-300,BALON,THIN PAT","VALVE,CHECK,2,300A,2T-300,BALON,THIN PAT"
181651,"VALVE,RLF,4X4,,,,       LONERGAN-41-W-20","VALVE,RLF,4X4,,,,       LONERGAN-41-W-20"
181845,"BOLT,STUD,7/8 X 6,CAD,ALLOY,W/2 HHN","BOLT,STUD,7/8 X 6,CAD,ALLOY,W/2 HHN"
227810,"VALVE,BALL,8,300A,WE,RP,8BMW740RP,BALLOM","VALVE,BALL,8,300A,WE,RP,8BMW740RP,BALLOM"
228721,"VALVE,BALL,2,300#,BALON,#2F-US33-BW","VALVE,BALL,2,300#,BALON,#2F-US33-BW"
229061,"PIPE,PLA,4,IPS,YELLOW,RINKER,POLYPIPE","PIPE,PLA,4,IPS,YELLOW,RINKER,POLYPIPE"
229158,"FLANGE,BALLOTAP,2,300A,2F300BT","FLANGE,BALLOTAP,2,300A,2F300BT"
229281,"VALVE, ADAPTER, ROCKWELL #12184","VALVE, ADAPTER, ROCKWELL #12184"
229326,"VALVE,BALL,3,300A,FE RF,RP,3R-F33-RF,BAL","VALVE,BALL,3,300A,FE RF,RP,3R-F33-RF,BAL"
229905,"VALVE,SHUT-OFF,FISH,FS 634-4,1"",HP,YELLO","VALVE,SHUT-OFF,FISH,FS 634-4,1"",HP,YELLO"
240242,"PIPE,STL,DUALCOAT,2,.154W,CW,3.65#/FT","PIPE,STL,DUALCOAT,2,.154W,CW,3.65#/FT"
241398,"VALVE,FLOWGRID,2,DUAL-PORT,300#,MOONEY","VALVE,FLOWGRID,2,DUAL-PORT,300#,MOONEY"
243969,"FLANGE,WN,10,RF,600A,STL,STD BORE","FLANGE,WN,10,RF,600A,STL,STD BORE"
246191,"VALVE, GATE, 4"", WS2, KEROTEST","VALVE, GATE, 4"", WS2, KEROTEST"
246467,"PIPE,STL,BLK,2,.218W,ERW,5.03#/FT,X52,DR","PIPE,STL,BLK,2,.218W,ERW,5.03#/FT,X52,DR"
247993,"VALVE, BALL, 10"", 500#, WE, 10BMW500FP","VALVE, BALL, 10"", 500#, WE, 10BMW500FP"
252612,"NIPPLE,1"" X  12"" ,XH,SMLS,SCW(MXM)","NIPPLE,1"" X  12"" ,XH,SMLS,SCW(MXM)"
256057,"PIPE,CT,10 3/4""OD .365WT API5LX42-52,ERW","PIPE,CT,10 3/4""OD .365WT API5LX42-52,ERW"
258455,"ELL,WLD,10"",90DEG,3R,STD,Y-52","ELL,WLD,10"",90DEG,3R,STD,Y-52"
258721,"VALVE,BALL,1"",KF/#6105-2183,3000#,TFE","VALVE,BALL,1"",KF/#6105-2183,3000#,TFE"
259963,"PIPE,6 5/8"" OD,.719'WT,API5L, BARE","PIPE,6 5/8"" OD,.719'WT,API5L, BARE"
260784,"VALVE,BALL,1"",600A,WE,FP,1BMW1480BFPQ1","VALVE,BALL,1"",600A,WE,FP,1BMW1480BFPQ1"
260877,"VALVE,BALL,16"" 600 WExFE,T31 CAMERON","VALVE,BALL,16"" 600 WEXFE,T31 CAMERON"
263561,"PIPE,STEEL,POWERCRETE,8,.250W,X52","PIPE,STEEL,POWERCRETE,8,.250W,X52"
264368,"PIPE,STL,POWERCRETE,4,.188W,ERW,40 ft","PIPE,STL,POWERCRETE,4,.188W,ERW,40 FT"
281308,"PIPE,STL,6,.188WT,HFW,X52M,FBE-PC","PIPE,STL,6,.188WT,HFW,X52M,FBE-PC"
281348,"PIPE,STL,X52,10,0.219WT,FBE","PIPE,STL,X52,10,0.219WT,FBE"
281369,"PIPE,STL,4,.188WT,ERW,X52,FBE","PIPE,STL,4,.188WT,ERW,X52,FBE"
281425,"PIPE,STL,8,.322WT,ERW,X52,FBE2","PIPE,STL,8,.322WT,ERW,X52,FBE2"
281431,"PIPE,STL,8,.219WT,HFW,X52M,PRIMED,SRL","PIPE,STL,8,.219WT,HFW,X52M,PRIMED,SRL"
282297,"VALVE,RELIEF,6,MP-HP, SET AT 65,FLG","VALVE,RELIEF,6,MP-HP, SET AT 65,FLG"
283301,"PIPE,NIPPLE,2X10,XH,SMLS,THD","PIPE,NIPPLE,2X10,XH,SMLS,THD"
283682,"ELBOW,90D,STL,0.25,COMP","ELBOW,90D,STL,0.25,COMP"
283745,"ELBOW,90D,STL,10,LR,BW,.219","ELBOW,90D,STL,10,LR,BW,.219"
284210,"PIPE,INSULATOR,3/4,COATED,WELD","PIPE,INSULATOR,3/4,COATED,WELD"
291375,"PIPE,PE,HI DEN,EMERG,2"",SDR 11,125 PSIG","PIPE,PE,HI DEN,EMERG,2"",SDR 11,125 PSIG"
3400278,"VALVE,BALL,4,600#,BALON,#4F-F63N,FULL PO","VALVE,BALL,4,600#,BALON,#4F-F63N,FULL PO"
3403610,"PIPE,PLA,4,IPS,YELLOW,PE2306CEC,SDR11.5,","PIPE,PLA,4,IPS,YELLOW,PE2306CEC,SDR11.5,"
3403675,"PIPE,PLA,1-1/4,IPS,YELLOW,PE2406CEC,SDR","PIPE,PLA,1-1/4,IPS,YELLOW,PE2406CEC,SDR"
165097,"PIPE,16"" OD .500"" WT API5LX42,ERW,PEB","PIPE,16"" OD .500"" WT API5LX42,ERW,PEB"
165105,"PIPE,22"" OD .500"" WT API5LX60,PE","PIPE,22"" OD .500"" WT API5LX60,PE"
165246,"NIPPLE,1/2"" X 6"",XH,SMLS,SCW(MXM)","NIPPLE,1/2"" X 6"",XH,SMLS,SCW(MXM)"
165336,"ELL,WLD, 8"",45DEG,3R,.250WT,GR.B","ELL,WLD, 8"",45DEG,3R,.250WT,GR.B"
165356,"ELL,WLD,16"",45DEG,LR,.432WT,GR.B","ELL,WLD,16"",45DEG,LR,.432WT,GR.B"
165823,"FLANGE,RFWN, 8"",ANSI 300,STD BORE","FLANGE,RFWN, 8"",ANSI 300,STD BORE"
165981,"VALVE,PLUG 2"",ROCKWELL FIG 2344,2160 CWP","VALVE,PLUG 2"",ROCKWELL FIG 2344,2160 CWP"
166033,"BOLT,STUD 5/8"" X 3 1/2"",B7,W/2-2H HEX","BOLT,STUD 5/8"" X 3 1/2"",B7,W/2-2H HEX"
167326,"VALVE,SECOND STAGE SUCTION","VALVE,SECOND STAGE SUCTION"
168280,"NIPPLE,2"" X 5"",XH,SMLS,STL","NIPPLE,2"" X 5"",XH,SMLS,STL"
168288,"NIPPLE,SWG,2""X1"",XH,SMLS,BEVEL X F.F.","NIPPLE,SWG,2""X1"",XH,SMLS,BEVEL X F.F."
168290,"NIPPLE,SWG,2"" X 1 1/4"",XH,SMLS,FS","NIPPLE,SWG,2"" X 1 1/4"",XH,SMLS,FS"
168343,"ELL,WLD,12"",45DEG,LR,STD,Y42","ELL,WLD,12"",45DEG,LR,STD,Y42"
